ANDROMEDA, 0.72, 53.65, 259.1
ANTLIA, 10.2, -2.46, 116.8
AQUARIUS, 22.31, 17.5, -64.7
AQUILA, 19.59, 25.22, -23.8
ARA, 17.34, -19.1, 9.8
ARIES, 2.65, 38.2, 230.2
AURIGA, 6.0, 45.29, 179.9
BOOTES, 14.61, 46.74, 50.8
CAELUM, 4.72, -6.68, 199.1
CAMELOPARDALIS, 6.88, 82.11, 166.6
CANCER, 8.64, 37.25, 140.3
CANES VENATICI, 13.17, 53.06, 72.3
CANIS MAJOR, 6.82, 1.99, 167.6
CANIS MINOR, 7.63, 26.89, 155.5
CAPRICORNUS, 21.03, 9.8, -45.4
CARINA, 8.83, -14.23, 137.4
CASSIOPEIA, 1.02, 70.81, 254.6
CENTAURUS, 13.06, -7.84, 73.9
CEPHEUS, 22.86, 83.28, -72.9
CETUS, 1.62, 19.39, 245.6
CHAMAELEON, 10.68, -21.45, 109.7
COLUMBA, 5.83, -3.91, 182.4
COMA BERENICES, 12.76, 39.77, 78.5
CORONA AUSTRINA, 18.63, -8.47, -9.5
CORONA BOREALIS, 15.86, 46.56, 32.0
CORVUS, 12.43, 8.35, 83.5
CRATER, 11.39, 10.47, 99.0
CRUX, 12.44, -23.04, 83.2
CYGNUS, 20.53, 56.45, -38.0
DELPHINUS, 20.67, 31.28, -40.1
DORADO, 5.13, -21.39, 193.0
DRACO, 15.78, 72.74, 33.2
EQUULEUS, 21.19, 27.78, -47.9
ERIDANUS, 3.3, 2.73, 220.3
FORNAX, 2.78, -0.09, 228.1
GEMINI, 7.09, 40.29, 163.5
GRUS, 22.5, -10.82, -67.5
HERCULES, 17.28, 44.96, 10.7
HOROLOGIUM, 3.23, -16.54, 221.4
HYDRA, 11.3, 17.98, 100.3
INDUS, 21.91, -21.4, -58.6
LACERTA, 22.47, 56.83, -67.1
LEO, 10.74, 34.98, 108.8
LEO MINOR, 10.34, 47.51, 114.8
LEPUS, 5.55, 8.38, 186.6
LIBRA, 15.21, 11.44, 41.8
LUPUS, 15.22, -9.44, 41.5
LYNX, 8.11, 58.86, 148.2
LYRA, 18.86, 50.06, -13.0
MICROSCOPIUM, 20.96, -4.98, -44.4
MONOCEROS, 7.01, 21.53, 164.7
NORMA, 15.97, -16.64, 30.3
OCTANS, 0.05, 18.85, 269.2
OPHIUCHUS, 17.33, 18.94, 10.0
ORION, 5.61, 23.75, 185.7
PAVO, 19.61, -21.21, -24.2
PEGASUS, 22.67, 38.63, -70.1
PERSEUS, 3.28, 58.22, 220.7
PHOENIX, 0.86, -10.53, 257.0
PICTOR, 5.72, -16.86, 184.1
PISCES, 0.52, 32.43, 262.1
PISCIS AUSTRINUS, 22.28, -0.06, -64.2
PUPPIS, 7.44, -2.03, 158.2
PYXIS, 8.92, 1.36, 136.1
RETICULUM, 3.91, -23.03, 211.2
SAGITTA, 19.67, 36.49, -25.1
SAGITTARIUS, 19.21, 3.38, -18.2
SCORPIUS, 16.74, 1.01, 18.7
SCULPTOR, 0.43, 0.47, 263.4
SCUTUM, 18.68, 14.68, -10.2
, 15.74, 30.16, 33.8
SERPENS, 18.15, 18.6, -2.3
SEXTANS, 10.27, 20.47, 115.9
TAURUS, 4.56, 41.18, 201.4
TELESCOPIUM, 19.32, -14.2, -19.8
TRIANGULUM, 2.17, 46.32, 237.3
TUCANA, 23.87, -22.62, -88.0
URSA MAJOR, 11.36, 66.02, 99.5
URSA MINOR, 14.85, 86.08, 47.1
VELA, 9.55, -10.34, 126.7
VIRGO, 13.38, 22.95, 69.2
